"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント"
"1126047991997943808","https://twitter.com/_achiku/status/1126047991997943808","achikupotato2 https://t.co/PpVH7DeqgQ","2019-05-08 08:55 +0000","423.0","37.0","0.08747044917257683","0.0","0.0","3.0","1.0","0.0","0.0","1.0","0.0","0","0","0","0","0","32","32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1126039629348519937","https://twitter.com/_achiku/status/1126039629348519937","@_ideyuta @Anrit @8maki 俺の前世は絶対イモなんだよな","2019-05-08 08:22 +0000","174.0","1.0","0.005747126436781609","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1126028057779687424","https://twitter.com/_achiku/status/1126028057779687424","@Anrit @8maki https://t.co/rGoTst2bb5","2019-05-08 07:36 +0000","399.0","18.0","0.045112781954887216","0.0","1.0","1.0","0.0","1.0","0.0","4.0","0.0","0","0","0","0","0","11","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1126026455488520192","https://twitter.com/_achiku/status/1126026455488520192","この写真はボツになりました https://t.co/hWUpneXUXQ","2019-05-08 07:30 +0000","5333.0","420.0","0.07875492218263641","2.0","1.0","28.0","59.0","11.0","0.0","34.0","0.0","0","0","0","0","0","285","285","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1126025187500019712","https://twitter.com/_achiku/status/1126025187500019712","それは俺も結構驚いてるんだよな","2019-05-08 07:24 +0000","527.0","34.0","0.06451612903225806","0.0","0.0","2.0","27.0","0.0","0.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1126022954184134656","https://twitter.com/_achiku/status/1126022954184134656","カンムのメンバー紹介ページできた
https://t.co/8FyMf1zLEe","2019-05-08 07:16 +0000","1645.0","159.0","0.09665653495440729","1.0","0.0","17.0","1.0","126.0","0.0","14.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1126016742038228992","https://twitter.com/_achiku/status/1126016742038228992","@8maki うちのじいちゃん側の人たちですね https://t.co/1EaqEHunbU","2019-05-08 06:51 +0000","204.0","8.0","0.0392156862745098","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","6","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1126010918431629312","https://twitter.com/_achiku/status/1126010918431629312","えっちな小屋「えちごや」","2019-05-08 06:28 +0000","2622.0","25.0","0.009534706331045004","2.0","1.0","7.0","4.0","0.0","0.0","11.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1126001621538729984","https://twitter.com/_achiku/status/1126001621538729984","ほう
https://t.co/idyyWu2a3F","2019-05-08 05:51 +0000","588.0","3.0","0.00510204081632653","0.0","0.0","1.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125969566436249600","https://twitter.com/_achiku/status/1125969566436249600","つよくてやさしいみょん","2019-05-08 03:43 +0000","311.0","2.0","0.006430868167202572","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125958428856205313","https://twitter.com/_achiku/status/1125958428856205313","やんやんさんヤベェな","2019-05-08 02:59 +0000","347.0","6.0","0.01729106628242075","0.0","0.0","0.0","6.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125937107422212096","https://twitter.com/_achiku/status/1125937107422212096","ム.... https://t.co/HM6bkvChBk","2019-05-08 01:34 +0000","432.0","35.0","0.08101851851851852","0.0","0.0","0.0","2.0","3.0","0.0","0.0","0.0","0","0","0","0","0","30","30","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125936558635274240","https://twitter.com/_achiku/status/1125936558635274240","TVアニメ『映像研には手を出すな！』公式サイト
 https://t.co/75niiWpZhC","2019-05-08 01:32 +0000","316.0","2.0","0.006329113924050633","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125936481011298305","https://twitter.com/_achiku/status/1125936481011298305","でもTwitter Cardは作って","2019-05-08 01:32 +0000","353.0","4.0","0.0113314447592068","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
